"Company","Country","Product categories"
"Agregate Production Union","Azerbaijan",
"Ufug Production Union","Azerbaijan",
"Vympel State Engineering Design Bureau JSC named after I.I. Toropov","Russia","Combat missiles"
"“Jihaz” Production Union ","Azerbaijan",
"“Sharg” Production Union","Azerbaijan",
"140 REPAIR PLANT","Republic of Belarus","Overhaul and modernization of armored vehicles and armaments"
"1news.az","Azerbaijan","Information agency"
"Abc.az","Azerbaijan","Information agency"
"Aeronautics group","Israel","UAV"
"Aerospace Review","Russia","Magazine"
"AGAT – Control Systems","Republic of Belarus","C4ISR, communication systems, air and land robotic platforms"
"Ahiler Development Agency","Turkey",
"Air Defense and Military Technology Service Center LLC","Azerbaijan","Improvement, development and modeling of armament systems, military research work"
"AIRBUS","France","Aircraft, Space Systems, Earth Observation and Telecommunication Satellite Systems"
"Aircraft Repair Plant 150","Russia",
"Aircraft Repair Plant 356","Russia",
"AKSA RUN FLAT (TEKCAN)","Turkey","Runflat systems"
"Alma DK ","Kazakhstan","Wapons, ammunition, military equipment"
"ANAMA","Azerbaijan","Azerbaijan National Agency for Mine Action"
"ANOVA","Turkey","Defense and aerospace engineering solutions"
"AO Energiya","Russia","Chemical sources of current for space and rocket-artillery ordnance"
"ARGERF","Turkey",
"Armada International","India","Magazine"
"Armiya","Belarus","Magazine"
"Armscom.net","Estonia","Website"
"Army and Navy Review","Russia","Magazine"
"Army Recognition","Belgium","Website"
"ARMYTEX","Kazakhstan","Manufacturer of parachute braking systems for fighter aircrafts"
"ARS POLYMER MACHINERY AND METAL PRODUCTION INDUSTRY AND TRADE LTD","Turkey",
"Arsenal 2000 JSCo","Bulgaria","Guns, rifles, ammunition"
"ARTEM SJSHC","Ukraine","Aviation means of attack and defense, avionics, Helicopter defence systems"
"ArtOS","Ukraine","Performance optimization of artillery firing units"
"Arzamas machine-building plant","Russia","Armored Personnel Carriers"
"ASAN Radio","Azerbaijan","Radio"
"ASELSAN","Turkey","Military communication, radars, EW, electro-optic systems"
"Asgar and?","Azerbaijan","TV Programme"
"Asian Defence Technology","Singapure","Magazine"
"Asian Military Review","India","Magazine"
"ASK","Azerbaijan","Support"
"Aviation & Sport","Russia","Magazine"
"AVS Defence & Textile","Turkey","Military&Police Garments and Equipment"
"Azeri Defence","Azerbaijan","Magazine"
"Azersun","Azerbaijan",
"Azertag.az","Azerbaijan","Information agency"
"AzPromo","Azerbaijan",
"Bagcam.az","Azerbaijan","Child zone"
"Bakuinform.az","Azerbaijan","Website"
"BIRD Aerosystems LTD","Israel","Airborne Missile Protection Systems (AMPS)"
"Biznesinfo.az","Azerbaijan","Website"
"BMC","Turkey","Armored vehicles"
"C4 Defence","Turkey","Magazine"
"CANGA MACHINERY INDUSTRY AND TRADE LTD","Turkey",
"CES ADVANCED COMPOSITE & DEFENSE TECHNOLOJIES, VEHICLE & PERSONAL PROTECTION","Turkey","VEHICLE & PERSONAL PROTECTION / DEFENSE TECHNOLOGIES"
"CETC International Co. Ltd","China","C4ISR, Information security, Radars"
"Cifal","France","Operational consulting and business support"
"CJSC KSF Peredovaya Tekstilschitsa","Russia","Fabrics for means individual armor, parachutes fabrics, basis for composite materials, fire-proof fabric"
"Corinvest trading LTD","Cyprus","Manufacturing, repairing and modernization of military and special purpose products"
"Cristanini Spa","Italy","CBRN systems, firefighting plants and equipment"
"Damen Shipyards","Netherlands","Naval shipbuilding"
"DEARSAN","Turkey","Naval vessels"
"Defence Export Promotion Organization (DEPO)","Pakistan","Defence exports"
"Defence Turkey","Turkey","Magazine"
"Defence-blog.com","Ukraine","Website"
"DEFENSE EXPRESS","Ukraine","Magazine"
"Defense Industry of the Russian Federation","Russia","Magazine"
"Defense Initiatives","Republic of Belarus","Development and production of systems and complexes of electronic warfare"
"Defense Market News","Russia","Magazine"
"DESAN","Turkey","Shipbuilding"
"DLG TACTICAL","Turkey","Firearm accessories "
"DN TECHNOLOGIES LLC ","Azerbaijan",
"DOLYA&CO.LTD ","Ukraine","Radio equipment"
"Dunarit corp","Bulgaria","combat and training aerial bombs, artillery munition, systems for demilitarization of munitions"
"Elbit Systems LTD","Israel","Unmanned Aircraft Systems"
"ESD Spotlight ","Germany","Magazine"
"Europäische Sicherheit & Technik","Germany","Magazine"
"European Security & Defence","Germany","Magazine"
"Eurosatory 2018","France","Exhibition"
"Excalibur Army spol. S.r.o.","Czech Republic","Military vehicles and weapon systems and ammunition"
"EXPERIMENTAL AND ?NDUSTRIAL PLANT","Azerbaijan",
"Export Centre of Ministry of defence of ?ran Islamic Republic","?ran",
"Facemark.az","Azerbaijan","Website"
"FAM-Fuerzas Militares Magazine","Spain","Magazine"
"FAM-World Military Forces Magazine","Spain","Magazine"
"FAM-World Naval Forces Magazine","Spain","Magazine"
"Federal service for military-technical cooperation ","Russia",
"GARANT? GIYIM","Turkey","Ballistic protective systems, textile, armor panels"
"GIRSAN","Turkey","Pistols"
"Gomap.az","Azerbaijan","Website"
"Hangzhou Hikvision Technology Co. Ltd","China","video surveillance solutions"
"Havelsan","Turkey","Command & Control And Combat Systems, training And Simulation Technologies"
"Helisota UAB","Lithuania","Helicopter maintenance and repair"
"High Technologies Park","Azerbaijan","UAV, robotic systems"
"High-Tech IMS ltd.","Bulgaria","Institute"
"HOYTEK","Turkey","UGV, ROV"
"Hyatt Regency Baku ","Azerbaijan",
"IHS Jane's Defence Weekly","UK","Magazine"
"IMI Systems LTD","Israel","Combat-proven solutions for the land, air, naval and homeland security "
"Indian Military Review ","India","Magazine"
"Industrial Technical Solutions ","Azerbaijan",
"ISBIR ELEKTRIK SAN A.S","Turkey","Generators"
"Ispra LTD","Israel","Non-lethal devices for riot control, crowd management, anti-terror equipment and police gear"
"Israel Aerospace Industries","Israel","Air, space, land, se defence systems, cyber, homeland security and ISR"
"Israel Defence","Israel","Magazine"
"JCS Rosoboronexport","Russia","State intermediary agency for Russia's exports/imports of defense-related and dual use products"
"JSC ZENIT-BELOMO","Republic of Belarus","Optical sights"
"JSC “MMW named after S.I. Vavilov – managing company of BelOMO holding”","Republic of Belarus",
"JSC “NIMI named after V.V. Bahirev”","Russia","Missiles"
"JSC «RPA «Poisk»","Russia","Missiles components"
"JSC 2566 Radioelectronic Armament Repair Plant ","Republic of Belarus","Repair of arms and military equipment"
"JSC 558 Aircraft Repair Plant","Republic of Belarus","Overhaul and modernization of military aviation materiel"
"JSC Kamenskvolokno","Russia","Personal armor for army and security forces, Aramid fabrics for body armour and composites"
"JSC KB Radar - Managing Company of Radar Systems Holding","Republic of Belarus","Radar, EW and radio control equipment"
"JSC Polyot - Ivanovo parachute works","Russia","Parachute systems"
"JSC SPC Techmash","Russia","Shock ground forces, major combat weapons facilities of the Navy; strike force of the Air Force"
"JSK “Rogachev plant “Diaproector”","Republic of Belarus",
"KALE KALIP","Turkey","Arms and ammunition"
"KAREL","Turkey","Telecommunication, inertial navigation, electronic R&D, special defense industry projects"
"Kazan Helicopters","Russia",
"Kiev armored plant ","Ukraine","Armored vehicles"
"Kiev state construstor bureau Luch","Ukraine","Reconnaissance unmanned aerial vehicles"
"KIRIKKALE CHAMBER OF COMMERCE AND INDUSTRY","Turkey",
"KIRIKKALE DEFENCE INDUSTRY SPECIAL OIZ","Turkey",
"Konotopsk avia repair plant Aviakon","Ukraine","Repair, technical assistance and modernistaion of helicopters"
"Krasnogorsky Zavod PJSC","Russia",
"Krilya rodini","Russia","Magazine"
"Leonardo SPA","Italy","Helicopters, land and naval defence systems"
"LOGOS LLC","Russia","Training and simulation systems"
"Luciad ","Belçika",
"Magal Security Systems","Israel","Command and control, Unmanned Surveillance"
"MAKTEL","Turkey","Springs"
"MANAS","Turkey","Defence electronic systems"
"MARCH GROUP","Russia","Non-lethal electroshock weapons"
"MBDA","France","Missile weaponry, air and missile defence weapon and equipment "
"MESAN","Turkey","Mine detection detectors, military communication systems"
"Military Technology","Germany","Magazine"
"Military-industrial complex VPK. Belarus","Belarus","Magazine"
"MILLERS OILS AZERBAIJAN LLC ","Azerbaijan",
"MILSOFT YAZILIM TEKNOLOJIKERI A.S","Turkey","C4I, Electronic warfare, cyber security, training and simulation"
"Ministry of Defence Industry of the Republic of Azerbaijan","Azerbaijan","Ministry"
"MKEK","Turkey","Ammunition, missiles, artillery weapon, explosives / powders, pyrotechnic products"
"Motor Sich","Ukraine","aircraft engines, gas turbines "
"MSI Magazine","Turkey","Magazine"
"National Aerocosmic Agency (N?S?) ","Azerbaijan",
"National Arsenal","Russia","Magazine"
"National Defense","Russia","Magazine"
"Naval Forces","Germany","Magazine"
"Naval Group","France","Submarine weapons, submarines, surface ships, drones, combat systems, naval cybersecurity"
"Navy Co LLP","Kazakhstan","Implements of SKD and overhaul of diesel engines"
"NETLINE COMMUNICATIONS TECHNOLOGIES (NCT) LTD.","Israel","IED and Comm jamming solutions, Drone detection and mitigation"
"Nexter Systems","France","Production of high-end defense systems"
"Niron systems","Israel","Command and control, mission and communication computers, Chaff & Flare Dispensing Systems"
"Novosibirsk Instrument making plant ","Russia",
"OMSKTRANSMASH","Russia",
"Opgal Optronic Industries LTD","Israel","Armored vehicle retrofits, driving vision enhancement, thermal sight"
"Optical plant “Sfera”","Republic of Belarus",
"Optical-Mechanical Manufacturing Union","Azerbaijan",
"OTOKAR","Turkey","Military vehicles"
"OZTEK","Turkey","Textile"
"PAKISTAN ORDNANCE FACTORIES","Pakistan","Ammunition, military explosives and propellants"
"Plasan","Israel","Armored vehicles design and producing"
"Premier Tour ","Azerbaijan",
"PRIVATE STOCK COMPANY PLANT KUZNYA ON RIBALSKY","Ukraine","Patrol vessels, Shipbuilding, grenade launchers"
"Proengin","France","Develops, manufactures and markets, Chemical and Biological detection systems"
"Qafqaz Hotels and Resorts ","Azerbaijan",
"R.I.S.K.","Azerbaijan",
"Rafael -Advanced defence systems Ltd","Israel","Electronic warfare, C4I, training and simulators, armor weapon systems"
"Research Institute of the Ministry of Defence Industry ","Azerbaijan",
"ROKETSAN","Turkey","Missiles"
"Rostvertol","Russia",
"RSK M?G (United Aircraft Corporation)","Russia","Development, production, modernization and repair of civil and military aircraft"
"RST","Turkey","Radars, satellite equipment"
"Russia Aviation & Military Guide","Russia","Magazine"
"Russian Helicopters","Russia","Helicopters design and manufacturing"
"SAES","Spain","Underwater acoustics and electronics"
"SalamNews.org","Azerbaijan","Information agency"
"Sandigcha","Azerbaijan","Store"
"SFTUE Belspetsvneshtechnika","Republic of Belarus","Development, manufacturing and trade of armaments, military equipment and high tech products"
"Shvabe JSC","Russia","Optical and laser systems and complexes"
"SIBAT- Israel Ministry of Defense","Israel","International defence cooperation division of IMOD"
"SIMSOFT","Turkey","Military vehicles simulators, Avionic, marine and command control systems software"
"S?NERJ? ALUMINUM METAL MACHINERY PRODUCTION INDUSTRY AND TRADE LTD","Turkey",
"Small Arms Defence Journal","USA","Magazine"
"SPLAV SPA JSC","Russia","Multiple rocket launchers"
"SPLLC OKB TSP","Republic of Belarus","upgrading and modification of armament systems, scientific and military scientific research work, hardware and software tools for systems of troop and armament control"
"Sputnik.az","Azerbaijan","Information agency"
"SSI–DEFENCE AND AEROSPACE INDUSTRY EXPORTERS’ ASSOCIATION","Turkey","Defence and Aerospace Industry Exporters’ Association "
"State Border Service of Azerbaijan Republic","Azerbaijan",
"State enterprise Kharkiv plant of the special machines","Ukraine","Manufacturing, repair, upgrading and disposal of weapons, military and special-purpose equipment and ammunition"
"State research & Design Shipbuilding Centre","Ukraine","Designing, modernisation and research in shipbuilding"
"STM","Turkey","Naval and air platforms engineering, Cyber security"
"Tactical Missiles Corporation joint stock company (JSC)","Russia","Combat missiles"
"TAIS","Turkey","Naval vessels, shipbuilding"
"TARGET A.S","Turkey","Shooting Ranges & Polygons"
"TEKNOLOJI MÜH. - ","Turkey","Defence engineering"
"Thales","France","Communications, command and control systems, Mission services and support, Surveillance, detection and intelligence systems, Training & Simulation"
"The state enterprice Lutsk repair plant Motor","Ukraine","Overhaul of aircraft engines "
"The Undersecretariat for Defence Industries","Turkey","State structure of Turkey Republic"
"TISA? ","Turkey","Guns"
"TRANSVARO","Turkey","Thermal, night vision, IR/ Laser equipment"
"TSG IT Advanced Systems Ltd","Israel","Command and control, cyber security, homeland security"
"TURKISH AEROSPACE","Turkey","UAV, aircrafts, helicopters"
"Turkishdefenceindustrynews.com","Turkey","Website"
"UAV Factory LTD","Latvia","Unmanned platforms and subsystems"
"UKBTM","Russia",
"Ukrainian Defense Review","Ukraine","Magazine"
"Ukrainian Private-Sector Defense Industries 2019-2020","Ukraine","Catalogue"
"Ukroboronprom Ukranian Defence Industry","Ukraine","Armored vehicles, aircrafts, radar systems, shipbuilding"
"Ukrspecexport","Ukraine","Export and import of military and special-purpose products and services"
"Ulan-Ude Aviation Plant","Russia",
"UNIFO","Turkey","Packaged and sterilized ready meals "
"Unitary enterprise “STC “LEMT” of the BelOMO”","Republic of Belarus",
"URALTRANSMASH","Russia",
"UralVagonZavod","Russia","Armored vehicles"
"Vazovski Mashinostroitelni Zavod ","Bulgaria","Ammunition for artillery, rockets"
"Vektormap.az","Azerbaijan","Website"
"Vertex","USA","Homeland security, robots, optics"
"VITTA Scientific-Technical","Azerbaijan","UAV, robotic systems"
"World Defence Almanac","Germany","Catalogue"
"YAKUPOGLU TEKSTIL VE DERI SAN. TIC. A.S","Turkey","Military boots, textile"
"Yuqoimport - SDPR","Serbia","Trade company in the field of defence, complex combat systems as the System Integrator"
"Zhejiang Dahua Vision Technology CO.,LTD","China","Video surveillance solutions"
